Compound,Date,Media Sources,Negative,Neutral,Positive,Tweet,Tweets Ago
0.4019,Sat Feb 02 20:17:00 +0000 2019,@BBC,0.0,0.876,0.124,"As @OtiMabuse and @Joe_Sugg clearly show, you don't need to be a big deal to make a big difference this #RedNoseDay… https://t.co/igWlmnSv6h",0
0.4939,Sat Feb 02 17:55:15 +0000 2019,@BBC,0.0,0.856,0.144,RT @BBCRadio2: 🇺🇸🥧 @DonMcleanonline's 'American Pie' is a classic hit in the folk-rock genre and inspired Madonna. This is the heartbreakin…,1
0.5106,Sat Feb 02 17:55:01 +0000 2019,@BBC,0.0,0.829,0.171,"RT @BBCOne: My eye allergies are having a strong reaction to this scene 😢
@TheLizCarr

#SilentWitness | on @BBCiPlayer https://t.co/4A2uUqh…",2
-0.7003,Sat Feb 02 17:54:53 +0000 2019,@BBC,0.266,0.734,0.0,RT @BBCiPlayer: Nearly half of the UK's population could die if antibiotics stopped working against resistant bacteria. https://t.co/aNu4YA…,3
0.6369,Sat Feb 02 17:54:48 +0000 2019,@BBC,0.0,0.865,0.135,RT @BBCRadio4: The news won't be the same without Jeremy Hardy's take on it. Here are some of the best moments from his years on The News Q…,4
-0.1779,Sat Feb 02 17:01:07 +0000 2019,@BBC,0.13,0.769,0.101,"As we wake up to the damage that plastics cause the environment, nature is offering us some natural solutions... 🌱♻️ https://t.co/3ooEaDvpEU",5
0.2003,Sat Feb 02 17:01:07 +0000 2019,@BBC,0.0,0.905,0.095,"We tend to take it for granted that maps are accurate... but that's not always the case! 🗺
https://t.co/O5qZEAWYTd",6
0.8074,Sat Feb 02 16:01:03 +0000 2019,@BBC,0.0,0.657,0.343,Winterwatch presenter @ChrisGPackham and @BirdTherapy author Joe Harkness talk in a brilliantly honest way about ho… https://t.co/HV4WciXF3X,7
0.0,Sat Feb 02 15:01:09 +0000 2019,@BBC,0.0,1.0,0.0,"Football team Boca Juniors have signed a player named Kevin Mac Allister, and the internet has responded in the onl… https://t.co/kCW2qsqUZI",8
0.3612,Sat Feb 02 14:01:09 +0000 2019,@BBC,0.0,0.848,0.152,"In 1984, Tomorrow's World introduced us to instruments that sound like other instruments... 😮🎸🎶
https://t.co/zueTqYQz3k",9
0.0,Sat Feb 02 13:01:06 +0000 2019,@BBC,0.0,1.0,0.0,"Think your morning commute is a hassle? These Filipino children swim across rivers, holding their books above their… https://t.co/CSJnKrAQFk",10
-0.128,Sat Feb 02 12:01:05 +0000 2019,@BBC,0.189,0.683,0.129,"Up Helly Aa is an annual fire festival (not be confused with Fyre Festival...) on the Shetland Islands 🔥🏴󠁧󠁢󠁳󠁣󠁴󠁿
https://t.co/9bur6TX1dh",11
0.0772,Sat Feb 02 11:02:02 +0000 2019,@BBC,0.0,0.929,0.071,Take your cake baking game to the next level this weekend with this salted chocolate number 😋🍫… https://t.co/uC4Wt4wICd,12
0.8555,Sat Feb 02 09:01:03 +0000 2019,@BBC,0.0,0.682,0.318,"Love to hike? ⛰Then the Sinai Trail, dubbed the 'world's best hike', should be on your bucket list 👉… https://t.co/piRVO76G1O",13
0.6696,Sat Feb 02 09:01:00 +0000 2019,@BBC,0.0,0.824,0.176,Tonight at 7:30pm on @BBCOne: The Greatest Dancer is handing YOU the power in the first of the live shows! 💃🕺 https://t.co/8mK01Cu8zE,14
0.25,Fri Feb 01 20:01:04 +0000 2019,@BBC,0.0,0.909,0.091,Anna Bergstrom has created a shopping mall where everything has one thing in common: every item for sale has been r… https://t.co/MLvbXHCFc5,15
-0.6344,Fri Feb 01 20:01:04 +0000 2019,@BBC,0.16,0.84,0.0,"As more and more species die out, how close are we to being able to bring some animals back from extinction? 🐅🦍🦅
https://t.co/JB4NkWvgKn",16
0.4482,Fri Feb 01 18:34:39 +0000 2019,@BBC,0.072,0.795,0.134,RT @BBCRadio4: The news won't be the same without the Jeremy Hardy take on it. Here are some of the best moments from his years on @TheNews…,17
0.631,Fri Feb 01 18:01:10 +0000 2019,@BBC,0.0,0.828,0.172,"Some of them may be hundreds of years old, but these Chinese proverbs still provide valuable advice for our modern… https://t.co/G13wepStqo",18
0.0,Fri Feb 01 17:19:01 +0000 2019,@BBC,0.0,1.0,0.0,BREAKING: Sir David Attenborough will return to @BBCOne in 2019 to present a new series exploring the seven extraor… https://t.co/PiSXprLP8a,19
0.2023,Fri Feb 01 17:09:21 +0000 2019,@BBC,0.0,0.859,0.141,RT @BBCNews: Clive Swift: Keeping Up Appearances star dies at 82 https://t.co/0GQJ6Kq0Jj,20
0.3612,Fri Feb 01 17:08:23 +0000 2019,@BBC,0.0,0.889,0.111,RT @BBCEarth: BREAKING: Sir David Attenborough will return later this year to present a new natural history series exploring the seven extr…,21
0.0,Fri Feb 01 17:02:04 +0000 2019,@BBC,0.0,1.0,0.0,"How do blue jeans turn into a yellow dress? 👖➡️👗 Behind the scenes of clothes recycling... ♻️
https://t.co/Hr2PqD1tsZ",22
0.4199,Fri Feb 01 16:04:07 +0000 2019,@BBC,0.0,0.892,0.108,"RT @BBCOne: NEWS: More David is coming! 

Sir David Attenborough will return to BBC One later this year to present a new natural history se…",23
